"imno","filnamn","P_Acer","P_Aesculus","P_Brassicaceae","P_Centaurea.cyanus","P_Cytisus","P_Glechoma.hederacea","P_Laburnum","P_Lamium","P_Lonicera","P_Lupinus","P_Papaver","P_Phacelia","P_Pinaceae","P_Potentilla.group","P_Prunus.group","P_Prunus.groupB","P_Pulmonaria.group","P_Quercus","P_Rhododendron","P_Robinia","P_Salix","P_Sambucus","P_Symphytum","P_Taraxacum","P_Tilia","P_Trifolium.pratense","P_Trifolium.repens.group","P_Viola.arvensis.group","P_zzRaisins","n","S"
1002022,"BB_159_HoA1_R2 1002022",0,1,5,0,0,0,0,0,0,0,0,0,0,0,7,131,0,0,0,0,0,0,0,0,0,0,0,0,39,183,2.2714634761655
1002031,"BB_16_HoA3_R2 1002031",158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,168,1.27762824983639
1002067,"BB_161_NaOA1_R2 1002067",0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,201,1.18212206404466
1002214,"BB_163_KaA1_R4 1002214",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,142,0,0,0,0,0,0,0,0,4,7,0,0,5,163,1.75081119492355
1001994,"BB_164_BoA2_R2 1001994",0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,172,1.20696980763374
1002002,"BB_165_BoA3_R2 1002002",0,3,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,112,273,2.07841309657367
1001986,"BB_166_BoA1_R2 1001986",0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,207,1.26441369175026
1002020,"BB_17_HoA1_R2 1002020",0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,237,1.26608414070049
1002180,"BB_171_NaVA3_R2-2 1002180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,27,183,1.51955853467008
1002023,"BB_173_HoA1_R2 1002023",0,0,1,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,231,1.52431699885963
1002081,"BB_176_NaOA3_R2 1002081",0,1,2,0,0,0,0,151,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,166,1.50560068229567
1001928,"BB_177_NaVA1_R1 1001928",33,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,94,0,0,0,0,0,0,0,25,191,3.46537832317979
1002062,"BB_179_KrA3_R2 1002062",0,0,0,0,0,0,0,130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,136,1.22225081676782
1002178,"BB_18_NaVA3_R2-2 1002178",0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,171,1.18637975804128
1002187,"BB_180_BoA2_R3 1002187",0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,21,221,1.88930571847683
1002026,"BB_181_HoA2_R2 1002026",0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,155,1.17800405468819
1002024,"BB_184_HoA1_R2 1002024",0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,206,1.26329036126433
1002163,"BB_185_NaVA1_R2-2 1002163",0,23,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,236,1.5903647523399
1002112,"BB_186_RyNA3_R2 1002112",0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,178,1.13659665573762
1002207,"BB_187_KaA3_R3 1002207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,22,174,1.46163636054613
1002058,"BB_188_KrA2_R2 1002058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,26,203,1.46626482531635
1002054,"BB_189_KrA1_R2 1002054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,24,200,1.44328965573469
1001999,"BB_19_BoA3_R2 1001999",0,0,0,0,0,0,120,2,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,17,158,2.18940336598967
1002027,"BB_190_HoA2_R2 1002027",0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,183,1.15523066669607
1002074,"BB_191_NaOA2_R2 1002074",0,0,0,0,0,0,0,0,154,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,186,1.62098722419775
1002044,"BB_194_KaA3_R2 1002044",0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,2.07949726014834
1002055,"BB_195_KrA1_R2 1002055",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,11,185,1.44275418461228
1002033,"BB_197_HoA3_R2 1002033",0,0,0,0,0,0,0,0,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,181,1.59053190677021
1002003,"BB_198_BoA3_R2 1002003",0,61,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,8,193,2.18198609409396
1001987,"BB_199_BoA1_R2 1001987",167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,197,1.56659823957067
1002113,"BB_200_RyNA3_R2 1002113",0,3,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,193,1.40372068176333
1002138,"BB_201_StMA2_R2-2 1002138",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,14,150,1.63898224786345
1002082,"BB_203_NaOA3_R2 1002082",0,0,0,0,0,0,0,0,95,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,16,169,2.4943013312675
1001815,"BB_204_BoA2_R1 1001815",0,0,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,148,1.25941756859655
1002134,"BB_205_StMA1_R2-2 1002134",0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,190,1.08455026345066
1001968,"BB_206_RySA3_R1 1001968",0,0,1,0,0,0,0,0,0,0,0,0,3,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,13,156,1.51928566730125
1002161,"BB_207_NaVA1_R2-2 1002161",0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,1.72548825796028
1002142,"BB_21_StMA3_R2-2 1002142",0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,26,183,1.84107948518516
1002162,"BB_210_NaVA1_R2-2 1002162",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,16,195,1.37089907209405
1002172,"BB_211_NaVA2_R2-2 1002172",0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,94,1.23097589657542
1002183,"BB_212_NaVA3_R2-2 1002183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,38,228,1.5691925832142
1002043,"BB_213_KaA2_R2 1002043",0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,11,180,2.48678271872636
1002145,"BB_215_BrA1_R2-2 1002145",0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,179,1.08887545463696
1001888,"BB_216_KaA2_R1 1001888",148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,159,1.28597719295579
1002209,"BB_216_RyNA2_R3 1002209",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,44,200,1.74567479249222
1002167,"BB_218_NaVA1_R2-2 1002167",0,0,1,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,188,1.38230316854744
1001983,"BB_22_BoA1_R2 1001983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,27,113,1.73299781368683
1001918,"BB_221_NaOA2_R1 1001918",0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,11,156,1.34078287633033
1002035,"BB_223_KaA1_R2 1002035",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1.46183195930728
1001858,"BB_224_HoA3_R1 1001858",0,0,0,0,0,0,0,143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,148,1.17887889547875
1001811,"BB_225_BoA2_R1 1001811",0,0,3,0,0,0,0,5,126,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,155,2.0469775478706
1002156,"BB_226_BrA3_R2-2 1002156",0,181,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,17,217,1.7577928611986
1002149,"BB_227_BrA1_R2-2 1002149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1
1001975,"BB_228_StMA2_R1 1001975",153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,158,1.16912093092428
1001910,"BB_230_KrA3_R1 1001910",152,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,178,1.61412332177329
1001934,"BB_232_NaVA2_R1 1001934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,9,161,1.24052622806655
1002151,"BB_233_BrA2_R2-2 1002151",144,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150,1.23170614540655
1001868,"BB_235_JoA3_R1 1001868",0,0,167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,177,1.26564874087064
1001829,"BB_236_BrA2_R1 1001829",113,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,5,174,2.35559309236918
1002199,"BB_238_HoA3_R3 1002199",0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,166,1.32670317816239
1002182,"BB_24_NaVA3_R2-2 1002182",0,0,0,0,0,0,0,0,149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,174,1.54606739658778
1002147,"BB_240_BrA1_R2-2 1002147",0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,55,1.76345325023875
1002075,"BB_242_NaOA2_R2 1002075",0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,169,1.23119897198393
1002200,"BB_243_KaA1_R3 1002200",0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,207,1.38854402993776
1002201,"BB_244_KaA1_R3 1002201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149,0,29,179,1.6105088273435
1001886,"BB_245_KaA3_R1 1001886",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,52,200,1.92693482075922
1002004,"BB_247_BoA3_R2 1002004",138,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,184,2.21084888677841
1001984,"BB_25_BoA1_R2 1001984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,4,0,0,0,0,0,0,21,150,1.6884982460823
1002016,"BB_250_BrA3_R2 1002016",0,54,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,48,213,2.78251415583752
1002115,"BB_251_StMA2_R2 1002115",0,0,0,0,0,0,0,0,3,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,6,156,1.29342276095887
1002093,"BB_252_NaVA2_R2 1002093",0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,236,1.30939668565772
1002068,"BB_253_NaOA1_R2 1002068",0,4,1,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,156,1.55556652557368
1001859,"BB_255_HoA3_R1 1001859",0,0,0,0,0,0,0,0,137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,145,1.26397251386975
1001887,"BB_256_KaA3_R1 1001887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,60,204,1.83271321387074
1001976,"BB_257_StMA3_R1 1001976",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,160,1.26338125030273
1002188,"BB_258_BoA2_R3 1002188",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,35,291,1.8687391728634
1002036,"BB_260_KaA1_R2 1002036",0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,232,1.14492712159752
1001894,"BB_263_KaA3_R1 1001894",158,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,178,1.49020797554074
1001911,"BB_264_KrA3_R1 1001911",0,0,9,0,0,0,0,0,0,0,0,0,1,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,21,176,1.81250357479002
1002195,"BB_266_HoA1_R3 1002195",0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,111,1.2653057136965
1001837,"BB_267_BrA3_R1 1001837",0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,1.1007705616014
1002017,"BB_268_BrA3_R2 1002017",0,186,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,243,2.02790287328544
1001812,"BB_269_BoA2_R1 1001812",0,0,187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,199,1.31167070821562
1002141,"BB_270_StMA2_R2-2 1002141",0,1,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,150,1.35217749246491
1002196,"BB_271_HoA1_R3 1002196",0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,168,1.16657966439525
1001895,"BB_273_KaA3_R1 1001895",156,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,170,1.3871728005658
1001947,"BB_275_RyNA1_R1 1001947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,29,219,1.47840150980804
1002169,"BB_276_NaVA2_R2-2 1002169",0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,169,1.25192458339524
1001929,"BB_278_NaVA1_R1 1001929",0,0,13,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,31,180,2.02287124285269
1001864,"BB_279_JoA1_R1 1001864",0,0,5,0,0,0,0,0,0,0,0,0,1,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,6,187,1.34612494122359
